Company Name ,Street Address ,City,Zip,State,Category
The Wealth Pool LLC,1307 W George St,Chicago,60657,IL,Investment Management
Third Stone Partners LLC,111 W Jackson Boulevard Suite 1530 ,Chicago,60604,IL,Technology
Tibco,"30 S. Wacker Drive, 22nd Floor",Chicago,60606,IL,Data & Analytics
Topstep Trader,130 S Jefferson St,Chicago,60661,IL,Capital Markets
Transunion ,555 W Adams St,Chicago,60661,IL,Data & Analytics
Tribal Ventures,195 North Harbor Drive,Chicago,60601,IL,Investor
Trinet ,"5th Floor, 111 W Illinois St",Chicago,60654,IL,Service Provider
Victory Park Capital,227 W Monroe St # 3900,Chicago,60606,IL,Investment Management
Wells Fargo ,10 S Wacker Dr,Chicago,60606,IL,Banking
Wells Fargo Advisors,30 South Wacker Drive Suite 4000,Chicago,60606,IL,Investment Management
West Loop Ventures,"230 W Superior, Suite 200",Chicago,60654,IL,Investor
William Blair,222 West Adams Street,Chicago,60606,IL,Banking
WP Global Partners,"155 N. Wacker Dr., Suite 4400",Chicago,60606,L,Investor
YCharts ,414 N Orleans St #302,Chicago,60654,IL,Data & Analytics
Yezzi (POMS),"920 N. Franklin, Suite 301 Chicago",Chicago,60610,IL,Payments
,,,,,
,,,,,
,,,,,
Coaccession,,,,,Investment Management
Evestment,,,,,Data & Analytics
